Packet_N GL GP  Date     Time    Lat         Long       Mil Spd Course 
00010682 05 04 02/12/11 07:00:10 5542.6855N 03739.9324E 027 015 200.3
00010683 05 06 02/12/11 07:00:12 5542.6810N 03739.9283E 027 016 219.1
00010684 05 06 02/12/11 07:00:17 5542.6735N 03739.9148E 027 009 226.4
00010685 06 06 02/12/11 07:00:22 5542.6700N 03739.9094E 027 004 231.7
00010686 06 06 02/12/11 07:00:27 5542.6687N 03739.9078E 027 001 238.9
00010687 06 06 02/12/11 07:00:32 5542.6686N 03739.9076E 027 000 136.8
00010688 06 05 02/12/11 07:00:37 5542.6685N 03739.9075E 027 000 321.5
00010689 06 06 02/12/11 07:00:42 5542.6685N 03739.9071E 027 000 345.5
00010690 06 05 02/12/11 07:00:47 5542.6685N 03739.9067E 027 000 117.2
00010691 06 06 02/12/11 07:00:52 5542.6682N 03739.9066E 027 000 073.2
00010692 06 06 02/12/11 07:00:57 5542.6681N 03739.9062E 027 000 125.4
00010693 05 05 02/12/11 07:01:02 5542.6682N 03739.9053E 027 000 259.0
00010694 05 06 02/12/11 07:01:07 5542.6681N 03739.9049E 027 000 245.1
00010695 06 06 02/12/11 07:01:12 5542.6678N 03739.9051E 027 000 227.5
00010696 06 05 02/12/11 07:01:17 5542.6677N 03739.9052E 027 000 255.1
00010697 06 04 02/12/11 07:01:23 5542.6675N 03739.9053E 027 000 270.8
00010698 06 06 02/12/11 07:01:28 5542.6676N 03739.9058E 027 000 160.3
00010699 06 06 02/12/11 07:01:33 5542.6676N 03739.9065E 027 000 209.2
00010700 06 06 02/12/11 07:01:38 5542.6675N 03739.9067E 027 000 206.1
00010701 06 06 02/12/11 07:01:43 5542.6676N 03739.9062E 027 000 082.2
00010702 05 07 02/12/11 07:01:48 5542.6677N 03739.9061E 027 000 137.0
00010703 06 07 02/12/11 07:01:53 5542.6675N 03739.9059E 027 000 179.4
00010704 06 06 02/12/11 07:01:58 5542.6677N 03739.9054E 027 000 045.6
00010705 06 06 02/12/11 07:02:03 5542.6679N 03739.9051E 027 000 143.2
00010706 05 06 02/12/11 07:02:08 5542.6678N 03739.9055E 027 000 018.4
00010707 05 06 02/12/11 07:02:13 5542.6676N 03739.9056E 027 000 305.6
00010708 05 05 02/12/11 07:02:18 5542.6673N 03739.9061E 027 000 285.2
00010709 06 05 02/12/11 07:02:23 5542.6665N 03739.9065E 027 000 314.1
00010710 05 06 02/12/11 07:02:29 5542.6658N 03739.9066E 027 000 185.4
00010711 06 06 02/12/11 07:02:34 5542.6661N 03739.9060E 027 000 282.7
00010712 06 06 02/12/11 07:02:39 5542.6666N 03739.9054E 027 000 144.2
00010713 06 06 02/12/11 07:02:44 5542.6669N 03739.9048E 027 000 294.8
00010714 06 06 02/12/11 07:02:49 5542.6675N 03739.9042E 027 000 178.8
00010715 06 06 02/12/11 07:02:54 5542.6677N 03739.9038E 027 000 191.9
00010716 06 06 02/12/11 07:02:59 5542.6678N 03739.9041E 027 000 091.3
00010717 06 06 02/12/11 07:03:04 5542.6679N 03739.9044E 027 000 351.1
00010718 05 07 02/12/11 07:03:09 5542.6681N 03739.9039E 027 000 154.7
00010719 06 06 02/12/11 07:03:14 5542.6683N 03739.9034E 027 000 354.4
00010720 06 06 02/12/11 07:03:19 5542.6682N 03739.9035E 027 000 282.7
00010721 05 06 02/12/11 07:03:24 5542.6679N 03739.9038E 027 000 168.7
00010722 06 07 02/12/11 07:03:29 5542.6676N 03739.9047E 027 000 142.8
00010723 05 05 02/12/11 07:03:34 5542.6676N 03739.9052E 027 000 207.1
00010724 06 05 02/12/11 07:03:40 5542.6678N 03739.9054E 027 000 068.5
00010725 06 07 02/12/11 07:03:45 5542.6678N 03739.9058E 027 000 204.0
00010726 06 06 02/12/11 07:03:50 5542.6682N 03739.9057E 027 000 132.0
00010727 06 07 02/12/11 07:03:55 5542.6686N 03739.9050E 027 000 016.1
00010728 05 07 02/12/11 07:04:00 5542.6689N 03739.9042E 027 000 124.5
00010729 06 06 02/12/11 07:04:05 5542.6693N 03739.9036E 027 000 074.6
00010730 06 06 02/12/11 07:04:10 5542.6695N 03739.9035E 027 000 299.5
00010731 06 07 02/12/11 07:04:15 5542.6695N 03739.9037E 027 000 141.3
00010732 06 05 02/12/11 07:04:20 5542.6694N 03739.9041E 027 000 294.4
00010733 06 06 02/12/11 07:04:25 5542.6693N 03739.9041E 027 000 219.6
00010734 06 06 02/12/11 07:04:30 5542.6690N 03739.9042E 027 000 135.5
00010735 06 07 02/12/11 07:04:35 5542.6690N 03739.9047E 027 000 217.6
00010736 06 07 02/12/11 07:04:40 5542.6690N 03739.9052E 027 000 315.6
00010737 06 07 02/12/11 07:04:45 5542.6691N 03739.9056E 027 000 262.1
00010738 06 06 02/12/11 07:04:51 5542.6692N 03739.9060E 027 000 105.5
00010739 05 06 02/12/11 07:04:56 5542.6694N 03739.9061E 027 000 127.6
00010740 05 07 02/12/11 07:05:01 5542.6694N 03739.9062E 027 000 170.3
00010741 05 07 02/12/11 07:05:06 5542.6694N 03739.9063E 027 000 128.8
00010742 06 06 02/12/11 07:05:11 5542.6694N 03739.9065E 027 000 208.4
00010743 06 06 02/12/11 07:05:16 5542.6692N 03739.9067E 027 000 065.9
00010744 05 07 02/12/11 07:05:21 5542.6690N 03739.9067E 027 000 312.9
00010745 06 05 02/12/11 07:05:26 5542.6688N 03739.9065E 027 000 204.2
00010746 05 06 02/12/11 07:05:31 5542.6683N 03739.9068E 027 000 129.4
00010747 06 07 02/12/11 07:05:36 5542.6680N 03739.9072E 027 000 114.7
00010748 05 07 02/12/11 07:05:41 5542.6677N 03739.9075E 027 000 160.7
00010749 06 07 02/12/11 07:05:46 5542.6673N 03739.9080E 027 000 282.8
00010750 06 06 02/12/11 07:05:51 5542.6668N 03739.9084E 027 000 228.4
00010751 06 07 02/12/11 07:05:56 5542.6666N 03739.9084E 027 000 164.6
00010752 06 07 02/12/11 07:06:02 5542.6666N 03739.9078E 027 000 324.3
00010753 06 06 02/12/11 07:06:07 5542.6664N 03739.9080E 027 000 131.4
00010754 06 07 02/12/11 07:06:12 5542.6661N 03739.9077E 027 000 295.1
00010755 05 08 02/12/11 07:06:17 5542.6660N 03739.9076E 027 000 341.1
00010756 04 06 02/12/11 07:06:22 5542.6657N 03739.9079E 027 000 184.0
00010757 06 06 02/12/11 07:06:27 5542.6654N 03739.9081E 027 000 032.6
00010758 06 06 02/12/11 07:06:32 5542.6650N 03739.9083E 027 000 166.9
00010759 05 06 02/12/11 07:06:37 5542.6646N 03739.9085E 027 000 009.3
00010760 05 07 02/12/11 07:06:42 5542.6644N 03739.9087E 027 000 158.0
00010761 05 07 02/12/11 07:06:47 5542.6642N 03739.9090E 027 000 025.8
00010762 05 06 02/12/11 07:06:52 5542.6641N 03739.9091E 027 000 162.9
00010763 05 06 02/12/11 07:06:57 5542.6641N 03739.9090E 027 000 131.1
00010764 05 05 02/12/11 07:07:02 5542.6640N 03739.9087E 027 000 043.6
00010765 05 05 02/12/11 07:07:07 5542.6639N 03739.9087E 027 000 286.7
00010766 05 08 02/12/11 07:07:13 5542.6637N 03739.9091E 027 000 134.9
00010767 05 08 02/12/11 07:07:18 5542.6637N 03739.9094E 027 000 032.1
00010768 05 06 02/12/11 07:07:23 5542.6637N 03739.9100E 027 000 147.0
00010769 06 05 02/12/11 07:07:28 5542.6637N 03739.9102E 027 000 309.2
00010770 06 07 02/12/11 07:07:33 5542.6637N 03739.9101E 027 000 142.1
00010771 05 06 02/12/11 07:07:38 5542.6638N 03739.9100E 027 000 292.8
00010772 06 07 02/12/11 07:07:43 5542.6637N 03739.9096E 027 000 266.8
00010773 06 07 02/12/11 07:07:48 5542.6635N 03739.9095E 027 000 166.4
00010774 06 07 02/12/11 07:07:53 5542.6635N 03739.9099E 027 000 273.2
00010775 05 07 02/12/11 07:07:58 5542.6635N 03739.9103E 027 000 010.6
00010776 05 07 02/12/11 07:08:03 5542.6633N 03739.9107E 027 000 192.1
00010777 05 07 02/12/11 07:08:08 5542.6633N 03739.9107E 027 000 338.8
00010778 05 07 02/12/11 07:08:13 5542.6633N 03739.9106E 027 000 195.4
00010779 05 07 02/12/11 07:08:18 5542.6632N 03739.9105E 027 000 156.5
00010780 05 07 02/12/11 07:08:24 5542.6632N 03739.9105E 027 000 047.4
00010781 05 07 02/12/11 07:08:29 5542.6631N 03739.9103E 027 000 222.8
00010782 05 07 02/12/11 07:08:34 5542.6630N 03739.9099E 027 000 105.3
00010783 05 07 02/12/11 07:08:39 5542.6628N 03739.9096E 027 000 163.2
00010784 05 07 02/12/11 07:08:44 5542.6625N 03739.9094E 027 000 257.7
00010785 05 07 02/12/11 07:08:49 5542.6624N 03739.9091E 027 000 235.6
00010786 05 07 02/12/11 07:08:54 5542.6623N 03739.9094E 027 000 279.3
00010787 05 07 02/12/11 07:08:59 5542.6622N 03739.9101E 027 000 047.1
00010788 05 07 02/12/11 07:09:04 5542.6621N 03739.9106E 027 000 173.3
00010789 05 07 02/12/11 07:09:09 5542.6621N 03739.9108E 027 000 295.5
00010790 05 07 02/12/11 07:09:14 5542.6620N 03739.9107E 027 000 188.1
00010791 05 07 02/12/11 07:09:19 5542.6620N 03739.9108E 027 000 243.0
00010792 05 07 02/12/11 07:09:24 5542.6619N 03739.9111E 027 000 339.5
00010793 05 07 02/12/11 07:09:29 5542.6619N 03739.9115E 027 000 031.6
00010794 05 07 02/12/11 07:09:34 5542.6620N 03739.9114E 027 000 082.6
00010795 06 07 02/12/11 07:09:40 5542.6619N 03739.9115E 027 000 128.5
00010796 06 07 02/12/11 07:09:45 5542.6620N 03739.9118E 027 000 312.9
00010797 05 07 02/12/11 07:09:50 5542.6620N 03739.9123E 027 000 205.4
00010798 05 07 02/12/11 07:09:55 5542.6619N 03739.9126E 027 000 143.2
